"統計期","市立美術館參觀人次","市立動物園參觀人次","市立兒童新樂園入園人次","市立天文科學教育館參觀人次","士林官邸公園參觀人次","臺北自來水園區參觀人次","北投溫泉博物館參觀人次","台北探索館參觀人次","藍色水路載客人次"
"87年 1月",0,514651,153484,80232,0,0,0,0,0
"87年 2月",0,443717,138865,125851,0,0,0,0,0
"87年 3月",0,375428,115554,79392,0,0,0,0,0
"87年 4月",0,405063,151608,115332,0,0,0,0,0
"87年 5月",0,337579,101861,82064,0,0,0,0,0
"87年 6月",0,114496,39754,51922,0,0,0,0,0
"87年 7月",0,214292,102054,116005,0,0,0,0,0
"87年 8月",0,327309,150310,130048,0,0,0,0,0
"87年 9月",0,204013,65809,63571,0,0,0,0,0
"87年 10月",0,221303,98007,89606,0,0,0,0,0
"87年 11月",0,467478,175399,128556,0,0,0,0,0
"87年 12月",0,349617,134055,115993,0,0,0,0,0
"88年 1月",0,381796,171566,66234,0,0,0,0,0
"88年 2月",0,550640,198181,85193,0,0,0,0,0
"88年 3月",0,232846,86015,56812,0,0,0,0,0
"88年 4月",0,466576,175108,88056,0,0,0,0,0
"88年 5月",0,290722,102958,76416,0,0,0,0,0
"88年 6月",0,162336,79364,61902,0,0,0,0,0
"88年 7月",0,314197,144328,108843,0,0,0,0,0
"88年 8月",0,796669,149300,125627,0,0,0,0,0
"88年 9月",0,415414,65664,59164,0,0,0,0,0
"88年 10月",0,387973,89681,89193,0,0,0,0,0
"88年 11月",0,583848,126913,111303,0,0,0,0,0
"88年 12月",0,398085,86946,113855,0,0,0,0,0
"89年 1月",0,392646,110318,57159,0,0,0,0,0
"89年 2月",0,706800,192455,73415,0,0,0,0,0
"89年 3月",0,329584,96772,44632,0,0,0,0,0
"89年 4月",0,461638,144061,70509,0,0,0,0,0
"89年 5月",0,310390,99622,64644,0,0,0,0,0
"89年 6月",0,193600,61506,49619,0,0,0,0,0
"89年 7月",0,384836,138930,116995,0,0,0,0,0
"89年 8月",0,407981,146716,119607,0,0,0,0,0
"89年 9月",0,416846,86307,58339,0,0,0,0,0
"89年 10月",0,796845,95792,82213,0,0,0,0,0
"89年 11月",0,670150,46850,109261,0,0,0,0,0
"89年 12月",0,723068,81237,82176,0,0,0,0,0
"90年 1月",0,683097,98697,49634,0,0,0,0,0
"90年 2月",0,871439,152935,81802,0,0,0,0,0
"90年 3月",0,404915,86644,68386,0,0,0,0,0
"90年 4月",0,503913,112134,95439,0,0,0,0,0
"90年 5月",0,297039,82548,94792,0,0,0,0,0
"90年 6月",0,260902,62837,60842,0,0,0,0,0
"90年 7月",0,390420,134169,86850,0,0,0,0,0
"90年 8月",0,457040,117010,94275,0,0,0,0,0
"90年 9月",0,146000,21339,34152,0,0,0,0,0
"90年 10月",0,475219,40171,88390,0,0,0,0,0
"90年 11月",0,528889,70561,111680,0,0,0,0,0
"90年 12月",0,454614,71788,96808,0,0,0,0,0
"91年 1月",25987,325337,74106,46606,102630,0,0,0,0
"91年 2月",26563,574300,127322,42385,107361,0,0,0,0
"91年 3月",25022,344963,62977,71726,124937,0,0,0,0
"91年 4月",24854,84296,74697,96888,96888,0,0,0,0
"91年 5月",23069,251075,69141,68820,98500,0,0,0,0
"91年 6月",33074,204548,61869,42288,75483,0,0,0,0
"91年 7月",44916,330915,92476,224210,92387,0,0,0,0
"91年 8月",57080,418102,85151,275255,92714,0,0,0,0
"91年 9月",39805,258953,51242,105097,65791,0,0,0,0
"91年 10月",49679,389705,73682,141455,137766,0,0,0,0
"91年 11月",24246,358963,62183,127708,100599,0,0,0,0
"91年 12月",38624,300113,71411,112052,153289,0,0,0,0
"92年 1月",28406,255228,68410,72081,158169,12397,0,0,0
"92年 2月",32653,587131,145370,72561,208940,14490,0,0,0
"92年 3月",26060,341288,124549,94527,219050,16654,0,0,0
